iter	Passed	Remaining
0	7	2378
1	13	2050
2	19	1924
3	25	1882
4	31	1837
5	40	1994
6	48	2030
7	54	2003
8	61	1980
9	67	1948
10	72	1917
11	78	1891
12	84	1873
13	90	1852
14	96	1835
15	105	1876
16	114	1907
17	120	1888
18	126	1866
19	132	1857
20	138	1841
21	144	1831
22	150	1816
23	156	1801
24	162	1792
25	168	1778
26	174	1768
27	180	1756
28	186	1744
29	196	1765
30	202	1759
31	210	1759
32	217	1757
33	223	1750
34	229	1737
35	235	1728
36	241	1717
37	247	1705
38	253	1694
39	259	1686
40	266	1681
41	272	1672
42	277	1661
43	283	1651
44	290	1648
45	296	1637
46	302	1627
47	308	1617
48	313	1607
49	319	1598
50	325	1589
51	331	1580
52	337	1573
53	343	1563
54	349	1555
55	354	1545
56	360	1536
57	366	1529
58	372	1520
59	377	1511
60	383	1503
61	389	1494
62	395	1486
63	400	1478
64	406	1470
65	412	1462
66	417	1453
67	423	1445
68	430	1440
69	435	1432
70	446	1440
71	454	1440
72	460	1433
73	466	1425
74	472	1417
75	478	1410
76	484	1402
77	489	1394
78	495	1386
79	501	1378
80	507	1371
81	516	1372
82	525	1373
83	533	1371
84	539	1364
85	545	1356
86	550	1348
87	556	1341
88	562	1333
89	568	1325
90	573	1318
91	579	1310
92	585	1303
93	591	1295
94	597	1288
95	603	1281
96	608	1273
97	616	1270
98	622	1263
99	628	1256
100	634	1249
101	640	1242
102	645	1235
103	651	1227
104	657	1220
105	663	1213
106	668	1206
107	675	1200
108	680	1193
109	686	1185
110	692	1178
111	698	1171
112	704	1165
113	711	1161
114	720	1159
115	726	1151
116	731	1144
117	738	1138
118	743	1131
119	749	1124
120	755	1117
121	761	1110
122	767	1103
123	772	1096
124	778	1089
125	784	1083
126	790	1076
127	796	1069
128	802	1063
129	807	1056
130	813	1049
131	819	1042
132	825	1036
133	831	1029
134	836	1022
135	842	1016
136	848	1009
137	854	1002
138	860	996
139	865	989
140	872	983
141	881	981
142	888	975
143	893	968
144	899	961
145	906	956
146	912	949
147	918	942
148	923	936
149	929	929
150	936	924
151	945	921
152	952	914
153	957	908
154	964	901
155	975	900
156	985	897
157	997	896
158	1008	894
159	1019	891
160	1028	888
161	1034	881
162	1040	874
163	1046	867
164	1051	860
165	1057	853
166	1063	847
167	1069	840
168	1075	833
169	1080	826
170	1086	819
171	1092	813
172	1098	806
173	1104	799
174	1109	792
175	1115	786
176	1121	779
177	1127	772
178	1133	766
179	1139	759
180	1145	752
181	1151	746
182	1156	739
183	1162	732
184	1168	726
185	1173	719
186	1180	713
187	1186	706
188	1192	700
189	1198	693
190	1203	687
191	1210	680
192	1215	674
193	1222	667
194	1232	663
195	1238	656
196	1243	650
197	1249	643
198	1255	637
199	1261	630
200	1267	624
201	1273	617
202	1278	611
203	1286	605
204	1295	600
205	1301	593
206	1307	587
207	1313	580
208	1319	574
209	1324	567
210	1331	561
211	1336	554
212	1342	548
213	1351	543
214	1360	538
215	1366	531
216	1372	524
217	1378	518
218	1384	511
219	1389	505
220	1395	498
221	1401	492
222	1407	485
223	1413	479
224	1418	472
225	1425	466
226	1431	460
227	1436	453
228	1446	448
229	1454	442
230	1460	436
231	1465	429
232	1471	423
233	1477	416
234	1483	410
235	1488	403
236	1494	397
237	1500	390
238	1506	384
239	1512	378
240	1518	371
241	1523	365
242	1530	358
243	1535	352
244	1541	346
245	1547	339
246	1553	333
247	1559	326
248	1564	320
249	1570	314
250	1576	307
251	1582	301
252	1588	295
253	1593	288
254	1599	282
255	1605	275
256	1611	269
257	1617	263
258	1623	256
259	1628	250
260	1635	244
261	1640	237
262	1646	231
263	1652	225
264	1658	218
265	1663	212
266	1669	206
267	1675	200
268	1681	193
269	1687	187
270	1692	181
271	1706	175
272	1714	169
273	1719	163
274	1725	156
275	1733	150
276	1740	144
277	1746	138
278	1752	131
279	1758	125
280	1764	119
281	1770	112
282	1775	106
283	1781	100
284	1787	94
285	1793	87
286	1798	81
287	1804	75
288	1809	68
289	1815	62
290	1821	56
291	1827	50
292	1835	43
293	1841	37
294	1847	31
295	1853	25
296	1858	18
297	1864	12
298	1870	6
299	1875	0
